price_history_id,property_id,change_date,new_price
1,1,2015-01-01,11770469
2,1,2025-01-05,11517304
3,1,2025-10-28,11285686
4,2,2015-01-01,7071494
5,2,2023-08-25,6874266
6,3,2015-01-01,12619072
7,4,2015-01-01,11490048
8,5,2015-01-01,4880776
9,5,2020-11-07,4788415
10,5,2022-02-01,4775473
11,5,2023-02-04,4219671
12,6,2015-01-01,3233386
13,7,2015-01-01,2752394
14,7,2021-11-26,3040549
15,8,2015-01-01,13189412
16,8,2025-03-29,11700307
17,9,2015-01-01,16040333
18,9,2022-10-19,15361794
19,10,2015-01-01,8728292
20,10,2024-06-29,9648702
21,10,2026-04-08,9577772
22,11,2015-01-01,5736076
23,12,2015-01-01,18747757
24,12,2018-11-24,22333639
25,12,2024-05-09,21626078
26,13,2015-01-01,16476783
27,14,2015-01-01,11075733
28,14,2017-01-25,13755981
29,14,2018-01-03,14220725
30,15,2015-01-01,9722725
31,16,2015-01-01,7817406
32,17,2015-01-01,8763422
33,17,2022-03-23,9321881
34,18,2015-01-01,8457322
35,19,2015-01-01,18778854
36,20,2015-01-01,3789912
37,20,2019-12-07,3325492
38,20,2026-01-23,3094089
39,21,2015-01-01,18487416
40,21,2021-02-11,22964351
41,21,2024-07-08,23443148
42,21,2024-11-27,20277709
43,22,2015-01-01,16919372
44,22,2024-04-01,20402220
45,23,2015-01-01,19683657
46,24,2015-01-01,6841433
47,24,2022-06-02,7115686
48,25,2015-01-01,1323554
49,26,2015-01-01,19617741
50,26,2020-09-11,19154524
51,27,2015-01-01,3100335
52,27,2026-05-11,2786862
53,28,2015-01-01,11258581
54,28,2015-12-21,13315443
55,29,2015-01-01,8137258
56,29,2023-09-15,9289293
57,29,2023-12-23,9689219
58,29,2026-06-19,11358776
59,30,2015-01-01,18175100
60,31,2015-01-01,18175978
61,31,2018-04-04,16230275
62,32,2015-01-01,15255794
63,32,2023-03-02,14114608
64,33,2015-01-01,10368945
65,33,2024-02-15,10873141
66,33,2024-09-18,12439833
67,34,2015-01-01,15854314
68,34,2017-10-23,19396265
69,34,2023-10-10,21083661
70,35,2015-01-01,14337567
71,35,2023-11-21,12561454
72,36,2015-01-01,11415015
73,37,2015-01-01,14289359
74,38,2015-01-01,9621896
75,38,2018-02-19,10599884
76,38,2020-04-25,10833130
77,39,2015-01-01,12457330
78,40,2015-01-01,1972848
79,40,2016-01-05,1765435
80,41,2015-01-01,18859882
81,41,2024-12-22,18597988
82,42,2015-01-01,8646217
83,42,2018-08-22,9186749
84,43,2015-01-01,8850144
85,43,2019-04-18,9943165
86,43,2025-01-23,9805474
87,44,2015-01-01,4194370
88,44,2016-08-03,4471706
89,44,2025-02-24,4533592
90,45,2015-01-01,18517669
91,46,2015-01-01,10646558
92,47,2015-01-01,10892150
93,47,2017-12-27,12465510
94,48,2015-01-01,18267103
95,48,2022-09-15,17701120
96,48,2023-09-13,20363953
97,49,2015-01-01,16361929
98,49,2018-08-14,16774514
99,50,2015-01-01,19825378
100,50,2015-11-24,19793143
101,50,2018-02-03,22961077
102,50,2023-03-05,24019842
103,51,2015-01-01,12694708
104,51,2015-09-07,11432439
105,51,2022-01-29,12087804
106,52,2015-01-01,4729973
107,52,2022-05-25,4117615
108,52,2022-08-05,3736256
109,53,2015-01-01,15801107
110,53,2016-03-31,16355793
111,53,2022-03-01,17427510
112,54,2015-01-01,3482312
113,54,2019-01-01,3376783
114,54,2023-12-23,3600255
115,55,2015-01-01,16161677
116,55,2017-07-04,16724892
117,55,2021-10-16,20412598
118,56,2015-01-01,18754351
119,57,2015-01-01,9814485
120,57,2018-10-07,11525680
121,57,2020-01-17,13438516
122,57,2024-01-27,15695138
123,58,2015-01-01,7915926
124,58,2017-08-30,9136718
125,59,2015-01-01,6364547
126,59,2018-08-15,6405836
127,60,2015-01-01,18561385
128,61,2015-01-01,7114463
129,61,2018-02-17,7863460
130,61,2018-07-20,7344220
131,62,2015-01-01,17870413
132,62,2026-01-31,18295138
133,63,2015-01-01,18997794
134,64,2015-01-01,3748645
135,64,2021-11-02,4100649
136,65,2015-01-01,17498180
137,65,2017-11-14,15431899
138,65,2025-03-27,18951976
139,66,2015-01-01,12293058
140,66,2023-09-14,14813174
141,67,2015-01-01,1760474
142,67,2021-04-11,1931025
143,67,2022-11-23,2349609
144,68,2015-01-01,6601038
145,68,2015-03-12,6786645
146,68,2017-12-01,7335256
147,69,2015-01-01,13428780
148,69,2021-09-15,14423981
149,70,2015-01-01,15268198
150,70,2016-11-22,16551954
151,70,2023-08-27,15532427
152,70,2025-06-15,18106576
153,71,2015-01-01,4000781
154,71,2016-03-26,4452057
155,72,2015-01-01,17931316
156,72,2019-01-27,15389856
157,73,2015-01-01,16592054
158,73,2021-06-05,14182149
159,73,2025-08-12,16798100
