property_id,address,property_type,area,rooms,floor,build_year,cadastral_number,owner_info
1,"д. Устюжна, ш. Ленинградское, д. 7/7, 912841",Коммерческое,77.1,4,20,2014,64:80:567574:919,"[{""owner_id"": 287, ""share"": 1.0}]"
2,"п. Белокуриха, пер. Тургенева, д. 534 стр. 6/2, 418938",Дом,66.7,2,21,1985,76:72:757193:245,"[{""owner_id"": 244, ""share"": 1.0}]"
3,"д. Березники, бул. Заозерный, д. 5/1 стр. 556, 502385",Коммерческое,71.4,3,11,1990,79:20:245095:155,"[{""owner_id"": 40, ""share"": 1.0}]"
4,"с. Брянск, пер. Парковый, д. 2 стр. 2/9, 240107",Коммерческое,58.5,4,14,1992,79:69:535970:64,"[{""owner_id"": 79, ""share"": 1.0}]"
5,"с. Сосногорск, ш. Курское, д. 400 к. 1/9, 066266",Дом,182.9,5,23,1952,83:58:600149:7,"[{""owner_id"": 216, ""share"": 1.0}]"
6,"с. Геленджик, наб. Есенина, д. 75 стр. 233, 368900",Коммерческое,181.6,4,8,1984,65:72:130434:399,"[{""owner_id"": 153, ""share"": 0.53}, {""owner_id"": 200, ""share"": 0.3}, {""owner_id"": 215, ""share"": 0.17}]"
7,"г. Березники, пр. Осенний, д. 1, 593429",Коммерческое,49.7,4,5,2018,13:60:720644:578,"[{""owner_id"": 208, ""share"": 1.0}]"
8,"клх Горячий Ключ, ул. Магистральная, д. 9 стр. 67, 745843",Коммерческое,97.2,4,6,1956,43:58:443254:217,"[{""owner_id"": 43, ""share"": 1.0}]"
9,"клх Урай, ул. Трактовая, д. 7 стр. 5/2, 283483",Дом,70.1,4,9,1960,70:12:885408:553,"[{""owner_id"": 173, ""share"": 1.0}]"
10,"клх Дмитров, алл. Щетинкина, д. 2/1, 044964",Квартира,137.0,1,25,1953,41:35:979995:21,"[{""owner_id"": 180, ""share"": 1.0}]"
11,"к. Шуя, пр. Степной, д. 7/8 к. 733, 680408",Квартира,105.2,1,19,1977,69:99:368690:786,"[{""owner_id"": 123, ""share"": 1.0}]"
12,"д. Нарым, ш. Полтавское, д. 759 к. 1/2, 487699",Квартира,193.6,1,19,1953,49:83:810250:930,"[{""owner_id"": 59, ""share"": 1.0}]"
13,"с. Снежинск, алл. Шахтерская, д. 244 стр. 58, 960945",Квартира,38.3,3,22,1965,82:15:464069:546,"[{""owner_id"": 204, ""share"": 0.57}, {""owner_id"": 102, ""share"": 0.29}, {""owner_id"": 39, ""share"": 0.14}]"
14,"ст. Шилка, ул. Дзержинского, д. 5, 770707",Квартира,111.1,3,1,2003,72:23:554582:984,"[{""owner_id"": 190, ""share"": 1.0}]"
15,"с. Усть-Кулом, пр. Майский, д. 949, 172444",Коммерческое,47.5,2,24,2016,93:44:745830:828,"[{""owner_id"": 236, ""share"": 1.0}]"
16,"п. Ясный (Оренб.), алл. Клубная, д. 11, 879508",Дом,173.3,1,9,2007,41:69:697530:625,"[{""owner_id"": 248, ""share"": 0.76}, {""owner_id"": 239, ""share"": 0.12}, {""owner_id"": 224, ""share"": 0.12}]"
17,"клх Кропоткин (Краснод.), ул. К.Маркса, д. 693 к. 818, 813359",Квартира,109.0,3,6,2012,37:55:936587:265,"[{""owner_id"": 173, ""share"": 1.0}]"
18,"г. Россошь, алл. Восточная, д. 6 к. 7, 749025",Коммерческое,21.8,2,3,1980,62:72:682144:777,"[{""owner_id"": 142, ""share"": 1.0}]"
