object_id,address,type,area,rooms,floor,build_year,cadastral_number,owner_ids
1,"г. Кисловодск, алл. Коминтерна, д. 6/9 стр. 3/7, 796405",дом,218.4,4,17,1996,89:73:8416216:16,278
2,"с. Клин, ул. Нахимова, д. 1 к. 5/4, 713900",квартира,465.3,8,29,2012,25:13:5014745:30,282
3,"п. Хабаровск, ул. Портовая, д. 63, 904228",коммерческое,215.8,4,27,1964,69:25:3583206:73,8
4,"г. Ардон, ул. Фурманова, д. 69, 240268",коммерческое,151.2,8,16,1981,68:80:3426689:59,"150,261"
5,"с. Северодвинск, пер. Приозерный, д. 9/4 к. 884, 076617",коммерческое,442.1,2,9,2003,53:74:5482413:10,261
6,"г. Москва, МГУ, алл. Песчаная, д. 94 стр. 7, 789611",коммерческое,298.4,8,28,1969,67:78:9125900:54,153
7,"с. Киренск, наб. Просвещения, д. 7/2 к. 7, 452711",дом,238.6,6,28,1974,99:40:7425184:39,279
8,"с. Владикавказ, бул. Жуковского, д. 18 стр. 2, 560494",дом,377.5,7,13,1969,73:14:3118060:74,"211,23"
9,"д. Терскол, алл. Невского, д. 61, 149368",дом,67.9,8,1,1968,62:93:3589751:19,"170,52"
10,"г. Ирбит, бул. Некрасова, д. 6 к. 722, 201836",дом,319.2,7,21,1960,52:96:9952696:58,136
11,"к. Ербогачен, наб. Механизаторов, д. 302 к. 814, 797643",квартира,316.4,4,21,1986,39:21:8280833:22,"250,278"
12,"с. Вытегра, бул. Станиславского, д. 1 к. 16, 343244",дом,99.9,5,29,1953,15:51:1941524:47,52
13,"г. Талдом, пр. Ягодный, д. 96 стр. 98, 160607",квартира,137.2,7,19,1973,31:32:2324869:88,221
14,"д. Рубцовск, пр. Марта 8, д. 2 стр. 1/6, 975161",коммерческое,88.7,8,21,1982,68:42:1157662:69,"124,255"
15,"д. Петухово, ул. Димитрова, д. 6 стр. 35, 818835",квартира,232.0,6,19,1988,91:64:5195951:68,"280,81"
16,"п. Волхов, наб. Ивановская, д. 39, 277997",дом,71.2,7,19,1995,83:47:5953150:12,"102,197"
17,"п. Саранск, пр. Щербакова, д. 5, 581477",квартира,291.6,1,30,2013,46:39:6910964:38,"203,141"
18,"к. Луга, бул. Революционный, д. 8/9, 793597",коммерческое,382.7,3,21,1962,90:92:1661401:49,129
19,"с. Волхов, бул. Промышленный, д. 40 к. 8/9, 554665",коммерческое,195.1,3,3,1987,51:63:3946751:35,18
20,"г. Мытищи, пер. 50 лет Победы, д. 5, 519254",дом,274.8,5,27,1971,42:71:5951651:53,277
21,"д. Вендинга, пер. Достоевского, д. 3 к. 668, 542357",квартира,382.0,4,28,2000,81:56:2515030:60,"240,39"
22,"п. Елец, наб. Сельская, д. 359, 222927",квартира,238.3,5,19,1998,91:57:2817745:96,275
23,"к. Когалым, пер. Балтийский, д. 4/9 к. 84, 597746",коммерческое,444.4,9,11,1978,92:18:8789116:99,13
24,"ст. Камышлов, алл. Сплавная, д. 975 стр. 581, 247826",квартира,87.1,1,10,2013,24:22:4939290:78,210
25,"ст. Североуральск, ул. Зои Космодемьянской, д. 668 к. 26, 305152",дом,341.8,9,14,1969,63:93:2661307:72,233
26,"к. Солнечногорск, ш. Кленовое, д. 8/1 стр. 404, 898614",квартира,351.3,4,15,2006,40:56:2666893:97,144
27,"г. Барнаул, пр. Л.Толстого, д. 917, 893246",квартира,211.1,4,4,2008,21:94:4558545:92,184
28,"п. Холмогоры, алл. Кольцевая, д. 2 к. 167, 540515",квартира,397.7,4,5,2022,36:18:4475523:85,11
29,"ст. Черемхово, ш. Буденного, д. 60 стр. 3, 722170",дом,391.7,10,1,1985,28:26:5205279:32,120
30,"г. Камышлов, наб. Гоголя, д. 9/8, 034505",квартира,27.1,4,19,1991,12:32:5452128:16,14
31,"ст. Нурлат, пр. Щетинкина, д. 6/3 к. 8/6, 161692",коммерческое,74.6,2,16,2007,56:75:2829622:67,216
