archive_id,object_id,change_date,new_price
1,1,2026-01-22,13978944
2,1,2023-08-04,14212150
3,2,2018-01-20,10205339
4,2,2020-10-10,10767396
5,3,2018-12-24,44778274
6,3,2019-02-18,46141847
7,4,2016-08-07,7817185
8,4,2017-06-07,8436548
9,4,2024-05-10,5620131
10,5,2019-01-11,22981598
11,5,2019-04-14,20407386
12,5,2023-12-25,20471201
13,6,2023-03-30,36790990
14,6,2024-12-25,36427830
15,7,2020-07-15,4161875
16,7,2021-11-26,8327994
17,7,2019-02-23,5512783
18,8,2024-04-30,8594311
19,8,2025-02-15,13565331
20,8,2017-04-09,8800284
21,9,2025-02-07,31085035
22,9,2024-01-23,28058843
23,9,2025-10-01,31247600
24,10,2021-11-28,32970061
25,10,2024-09-05,37707450
26,11,2018-04-14,12867969
27,11,2017-06-07,12951093
28,11,2020-03-09,17777097
29,12,2019-09-05,30708207
30,12,2025-08-31,29227941
31,13,2022-10-21,17626397
32,13,2020-03-07,19757153
33,13,2017-02-22,15079682
34,14,2016-09-18,38004530
35,14,2017-03-19,33610194
36,14,2017-03-18,34324627
37,15,2017-06-29,12962408
38,15,2023-09-02,15824694
39,16,2020-01-28,33777200
40,16,2018-11-12,36580078
41,17,2022-04-17,8811528
42,17,2025-03-23,5335887
43,18,2023-09-09,10038309
44,18,2024-07-26,12185530
45,19,2024-01-23,39144197
46,19,2022-02-05,40854124
47,20,2021-04-19,12122608
48,20,2023-04-27,11000452
49,20,2022-10-06,13864222
50,21,2025-11-09,29286184
51,21,2023-07-03,29898576
52,21,2018-07-11,31067363
53,22,2024-08-18,32859736
54,22,2019-04-17,35538352
55,23,2025-11-16,28768742
56,23,2021-09-24,30461543
57,24,2024-05-05,21777161
58,24,2016-12-11,23989073
59,24,2020-07-30,21994648
60,25,2021-05-24,3241810
61,25,2021-02-19,4011247
62,25,2023-08-21,7747403
63,26,2020-02-27,10666580
64,26,2020-03-21,13513825
65,27,2019-08-08,34352914
66,27,2021-05-10,38510550
67,27,2022-11-30,35205156
68,28,2022-06-28,34612168
69,28,2023-07-02,32948532
70,29,2025-06-18,17171091
71,29,2021-04-28,20099863
72,30,2017-07-31,43962515
73,30,2022-02-27,46974271
74,30,2021-07-09,43549030
75,31,2023-06-18,29999991
76,31,2019-11-21,28706775
77,31,2022-02-19,29188478
78,32,2018-07-14,8989731
79,32,2024-05-23,9727357
80,33,2021-10-16,16063450
81,33,2024-11-23,16518270
82,34,2019-12-11,46206736
83,34,2021-10-22,44386933
84,34,2017-08-18,47511650
85,35,2025-03-25,11310501
86,35,2022-09-16,13284737
87,35,2018-04-25,10345132
88,36,2024-12-22,25762154
89,36,2023-03-17,22505044
90,36,2026-02-24,24878207
91,37,2023-01-19,39805502
92,37,2022-07-31,39859192
93,38,2026-02-08,47346585
94,38,2022-08-12,43544446
95,38,2026-05-04,45906597
96,39,2023-06-03,32881676
97,39,2022-01-15,33400502
98,40,2023-06-25,32476022
99,40,2016-09-08,33487806
100,41,2017-03-08,24813110
101,41,2020-05-12,27804634
